V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 217.500000, V[1]: 225.000000, V[2]: 262.500000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
